num lon lat alt item
1 116.3155363713843 39.95788916114829 0.0 49
2 116.3164213008846 39.958335133361 0.0 1
3 116.3163344892091 39.95832456163742 0.0 4
4 116.316227312702 39.95833413101866 0.0 8
5 116.3160752434638 39.95836603159275 0.0 14
6 116.3159976787629 39.95837295737314 0.0 17
7 116.3158664152165 39.95838467713083 0.0 22
8 116.3157580070143 39.95833357177919 0.0 27
9 116.3157177297351 39.95824161795723 0.0 31
10 116.3157092456612 39.95816624664904 0.0 34
11 116.3157181904696 39.95809063091733 0.0 37
12 116.3157155589929 39.95801732745884 0.0 40
13 116.3157098327814 39.95796765945395 0.0 42
14 116.3155874359698 39.957890521413 0.0 47
15 116.3156335385334 39.95789748664538 0.0 45
16 116.3154625037479 39.95788424687394 0.0 52
17 116.3153102492224 39.95788019906366 0.0 58
18 116.3153836934343 39.95788509410586 0.0 55
19 116.3151745999384 39.95785903838919 0.0 64
20 116.3152429361051 39.95788017016919 0.0 61
21 116.3150792755951 39.95784546918189 0.0 68
22 116.3149572671352 39.95785595701669 0.0 73
23 116.3148512172433 39.95785627666884 0.0 77
24 116.3147060329741 39.95785615036808 0.0 83
25 116.3146335588682 39.9578534464697 0.0 86
26 116.3144500277814 39.95784700586705 0.0 94
27 116.3144944954881 39.9578474476851 0.0 92
28 116.3143779083403 39.95784431528473 0.0 97
29 116.3142900008708 39.95783242607599 0.0 101
30 116.3142038198888 39.95780896858255 0.0 105
31 116.3140783251786 39.95780984185346 0.0 110
32 116.3140070116589 39.9578162088151 0.0 113
33 116.3138895373313 39.95779585746341 0.0 118
34 116.3137910550972 39.95775882387294 0.0 123
35 116.3136951905369 39.95775222144934 0.0 127
36 116.3135773044149 39.95775267043395 0.0 132
37 116.3134952659712 39.95772991641793 0.0 136
38 116.3133773669819 39.95773545113572 0.0 141
39 116.3133081307505 39.95773664725658 0.0 144
40 116.3133231593751 39.95768087223993 0.0 145
41 116.3132874612642 39.95761583463567 0.0 147
42 116.3132988704193 39.95755249913604 0.0 150
43 116.3133335348099 39.95747403832794 0.0 154
44 116.3133588446508 39.9573886996389 0.0 158
45 116.3133521677739 39.95731244022068 0.0 162
46 116.3133346914787 39.95724305360351 0.0 166
47 116.3133534405325 39.95716742968855 0.0 170
48 116.3134276556862 39.95710946847778 0.0 174
49 116.3134615579994 39.9570519475735 0.0 177
50 116.3135021747459 39.95697845916791 0.0 181
51 116.3135154434 39.95692460247324 0.0 184
52 116.3134737434244 39.95686021945313 0.0 190
53 116.313411152659 39.95681440831019 0.0 195
54 116.3132833911235 39.95679120215667 0.0 197
55 116.3131742620065 39.95675555442266 0.0 201
56 116.3130724180014 39.9567642025195 0.0 205
57 116.3129449115899 39.95677558461863 0.0 210
58 116.3128234224876 39.9567848019166 0.0 215
59 116.3127223728743 39.9567924404775 0.0 219
60 116.3126214841079 39.95680006747302 0.0 223
61 116.312579293052 39.95673276019767 0.0 229
62 116.3125768624293 39.95667662434456 0.0 232
63 116.31256603762 39.95659243998941 0.0 237
64 116.312563730079 39.95651893913593 0.0 241
65 116.3125668952527 39.95642659962167 0.0 246
66 116.3125598323497 39.95635656520346 0.0 250
67 116.3125676672811 39.95626760573258 0.0 255
68 116.3125933683886 39.95620498871843 0.0 259
69 116.3126697488656 39.95616069311585 0.0 264
70 116.3127821727577 39.95613952525434 0.0 269
71 116.3128895892199 39.95612997707605 0.0 274
72 116.3130154726877 39.95611909743815 0.0 280
73 116.3131689319719 39.95609481365653 0.0 287
74 116.3132878409307 39.95612543750102 0.0 294
75 116.31338798825 39.95613919854213 0.0 299
76 116.3134869294491 39.95613036839401 0.0 304
77 116.3135909445081 39.95612487987762 0.0 309
78 116.3137101093869 39.95612529327375 0.0 315
79 116.3138375327961 39.9561133417227 0.0 321
80 116.3139572332289 39.95611461059579 0.0 327
81 116.314076426414 39.95613887892169 0.0 333
82 116.3142206575608 39.95613445996381 0.0 340
83 116.3143708144241 39.95613315845193 0.0 347
84 116.3144512584778 39.95614534584621 0.0 351
85 116.3145770811396 39.95616141103972 0.0 357
86 116.3146768078708 39.95618784701695 0.0 362
87 116.314749382177 39.9562209935454 0.0 365
88 116.3147693689933 39.95629960473009 0.0 366
89 116.3147791974736 39.9564183528281 0.0 370
90 116.3147537123221 39.95650101001144 0.0 375
91 116.3147540396995 39.95656564336778 0.0 379
92 116.3147532804837 39.9566051299804 0.0 381
